bbl,tax_year,neighborhood,building_classification,total_units,year_built,gross_sqft,est_gross_income,gross_income_per_sqft,est_expense,expense_per_sqft,net_operating_income,full_market_value,market_value_per_sqft,comparable_rental_1_boro_block_lot,comparable_rental_1_neighborhood,comparable_rental_1_building_classification,comparable_rental_1_total_units,comparable_rental_1_year_built,comparable_rental_1_gross_sqft,comparable_rental_1_est_gross_income,comparable_rental_1_gross_income_per_sqft,comparable_rental_1_est_expense,comparable_rental_1_expense_per_sqft,comparable_rental_1_net_operating_income,comparable_rental_1_full_market_value,comparable_rental_1_market_value_per_sqft,comparable_rental_1_dist_from_coop_in_miles,comparable_rental_2_boro_block_lot,comparable_rental_2_neighborhood,comparable_rental_2_building_classification,comparable_rental_2_total_units,comparable_rental_2_year_built,comparable_rental_2_gross_sqft,comparable_rental_2_est_gross_income,comparable_rental_2_gross_income_per_sqft,comparable_rental_2_est_expense,comparable_rental_2_expense_per_sqft,comparable_rental_2_net_operating_income,comparable_rental_2_full_market_value,comparable_rental_2_market_value_per_sqft,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_3_boro_block_lot,comparable_rental_3_address,comparable_rental_3_neighborhood,comparable_rental_3_building_classification,comparable_rental_3_total_units,comparable_rental_3_year_built,comparable_rental_3_gross_sqft,comparable_rental_3_est_gross_income,comparable_rental_3_gross_income_per_sqft,comparable_rental_3_est_expense,comparable_rental_3_expense_per_sqft,comparable_rental_3_net_operating_income,comparable_rental_3_full_market_value,comparable_rental_3_market_value_per_sqft,comparable_rental_3_dist_from_coop_in_miles,block,lot,BoroCode,Zip,UnitsRes,ComArea,NumFloors,SchoolDist,outstanding_fines,FDNY_issues,SANITATION_issues,DOB_issues
1-00011-0014,2009,FINANCIAL,D4-ELEVATOR,21,1909,51387,1456821,28.3,NA,NA,NA,7060000,137,1-00008-0039,FINANCIAL,D5-ELEVATOR,23,1950,33907,961149,28.3,NA,NA,NA,4660000,137,0.1,1-00385-0002,ALPHABET CITY,C7-WALK-UP,16,1900,10588,307052,29,NA,NA,NA,1490000,141,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,14,1,10004,20,2300,19,2,1850,23,14,16
1-00011-0014,2011,FINANCIAL,D4-ELEVATOR,21,1909,51387,1875625,36.5,NA,NA,NA,8740000,170,1-00053-0033,FINANCIAL,D8-ELEVATOR,61,1929,57941,2260000,39,NA,NA,NA,11100000,192,0.3,1-00071-0001,FINANCIAL,D2-ELEVATOR,66,1930,50955,1780000,34.9,NA,NA,NA,8290000,163,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,14,1,10004,20,2300,19,2,1850,23,14,16
1-00011-0014,2012,FINANCIAL,D4-ELEVATOR,21,1909,51387,1734825,33.76,527744,10.27,1207080,8960000,174.36,1-00026-0014,FINANCIAL,D5-ELEVATOR,374,1904,377214,13406186,35.54,4692540,12.44,8713640,64398000,170.72,0.14,1-00071-0001,FINANCIAL,D7-ELEVATOR,66,1930,52969,1788390,33.76,543771,10.27,1244620,9239000,174.42,0.35,1-00065-0010,9 MAIDEN LANE,FINANCIAL,D5-ELEVATOR,68,1900,58,2,35.98,645,11.06,1,10,183.88,0.37,11,14,1,10004,20,2300,19,2,1850,23,14,16
1-00028-0001,2009,FINANCIAL,D0-ELEVATOR,209,1926,239121,6456267,27,NA,NA,NA,31300000,131,1-00021-0006,FINANCIAL,D5-ELEVATOR,237,1900,303086,9067550,29.9,NA,NA,NA,43900000,145,0.25,1-00042-0001,FINANCIAL,D6-ELEVATOR,342,1930,290116,10154060,35,NA,NA,NA,51100000,176,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,1,1,10004,202,11000,23,2,11235,51,8,17
1-00028-0001,2011,FINANCIAL,D0-ELEVATOR,209,1926,239121,8130114,34,NA,NA,NA,37900000,158,1-00042-0001,FINANCIAL,D6-ELEVATOR,342,1930,290116,12283000,42.3,NA,NA,NA,60300000,208,0.15,1-00021-0006,FINANCIAL,D5-ELEVATOR,237,1900,303086,9972000,32.9,NA,NA,NA,46400000,153,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,1,1,10004,202,11000,23,2,11235,51,8,17
1-00028-0001,2012,FINANCIAL,D0-ELEVATOR,211,1926,239121,7879037,32.95,2647070,11.07,5231970,38899000,162.67,1-00150-0022,CIVIC CENTER,C7-WALK-UP,9,1915,20000,631094,31.55,189039,9.45,442055,7889000,394.45,0.74,1-00144-0026,TRIBECA,D5-ELEVATOR,9,1915,20250,549828,27.15,194770,9.62,355058,6186000,305.48,0.84,1-00174-0028,71 FRANKLIN STREET,CIVIC CENTER,D9-ELEVATOR,10,1921,18,606,33.49,0,0,606,7,418.62,0.91,28,1,1,10004,202,11000,23,2,11235,51,8,17
1-00052-0021,2009,FINANCIAL,D0-ELEVATOR,24,1900,57945,1648740,28.5,NA,NA,NA,7990000,138,1-00008-0039,FINANCIAL,D5-ELEVATOR,23,1950,33907,961149,28.3,NA,NA,NA,4660000,137,0.45,1-00393-0034,ALPHABET CITY,C4-WALK-UP,19,1900,7665,239012,31.2,NA,NA,NA,1160000,151,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,21,1,10006,21,7500,13,2,17715,54,28,27
1-00064-0008,2009,FINANCIAL,D4-ELEVATOR,94,1911,167448,5274612,31.5,NA,NA,NA,25600000,153,1-00878-0004,GRAMERCY,D9-ELEVATOR,190,1900,145299,4811189,33.1,NA,NA,NA,23300000,160,2.45,1-00844-0017,FLATIRON,D9-ELEVATOR,88,1902,118067,3369000,28.5,NA,NA,NA,16300000,138,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,8,1,10005,87,7056,33,2,1710,43,22,39
1-00064-0008,2011,FINANCIAL,D4-ELEVATOR,94,1911,167448,5986266,35.8,NA,NA,NA,27900000,167,1-00077-0024,FINANCIAL,D7-ELEVATOR,204,1900,159000,5860000,36.9,NA,NA,NA,27300000,172,0.15,1-00077-0001,FINANCIAL,D7-ELEVATOR,164,1926,160000,5540000,34.6,NA,NA,NA,25800000,161,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,8,1,10005,87,7056,33,2,1710,43,22,39
1-00064-0008,2012,FINANCIAL,D4-ELEVATOR,92,1911,167448,5326521,31.81,1558940,9.31,3767580,28097000,167.8,1-00077-0024,FINANCIAL,D7-ELEVATOR,205,1900,159000,5447340,34.26,1906410,11.99,3540930,26237000,165.01,0.15,1-00065-0010,FINANCIAL,D5-ELEVATOR,68,1900,58354,2099485,35.98,645225,11.06,1454260,10730000,183.88,0.05,1-00065-0020,12 JOHN STREET,FINANCIAL,D6-ELEVATOR,20,1900,31,890,28.62,250,8.06,639,4,154.48,0.05,64,8,1,10005,87,7056,33,2,1710,43,22,39
